date,nama_kabupaten_kota,produksi_padi
2018-01-01,KABUPATEN BOGOR,25475
2018-01-01,KOTA BANJAR,0
2018-01-01,KABUPATEN BEKASI,90703
2018-01-01,KABUPATEN BANDUNG,4667
2018-01-01,KABUPATEN KARAWANG,37984
2018-01-01,KOTA CIREBON,373
2018-01-01,KABUPATEN GARUT,12313
2018-01-01,KABUPATEN PURWAKARTA,4697
2018-01-01,KOTA TASIKMALAYA,1857
2018-01-01,KOTA BANDUNG,66
2018-01-01,KABUPATEN TASIKMALAYA,19990
2018-01-01,KOTA BEKASI,33
2018-01-01,KABUPATEN INDRAMAYU,9459
2018-01-01,KABUPATEN CIAMIS,7780
2018-01-01,KABUPATEN SUMEDANG,9884
2018-01-01,KOTA CIMAHI,0
2018-01-01,KABUPATEN KUNINGAN,4134
2018-01-01,KABUPATEN MAJALENGKA,5500
2018-01-01,KOTA DEPOK,2
2018-01-01,KABUPATEN SUBANG,17477
2018-01-01,KABUPATEN CIANJUR,14607
2018-01-01,KABUPATEN CIREBON,13095
2018-01-01,KOTA BOGOR,67
2018-01-01,KABUPATEN PANGANDARAN,500
2018-01-01,KABUPATEN SUKABUMI,15877
2018-01-01,KOTA SUKABUMI,888
2018-01-01,KABUPATEN BANDUNG BARAT,2302
2018-02-01,KABUPATEN KARAWANG,45670
2018-02-01,KABUPATEN PANGANDARAN,23533
2018-02-01,KOTA SUKABUMI,685
2018-02-01,KOTA CIREBON,0
2018-02-01,KABUPATEN SUMEDANG,18072
2018-02-01,KABUPATEN CIREBON,24628
2018-02-01,KABUPATEN SUKABUMI,95781
2018-02-01,KABUPATEN GARUT,51580
2018-02-01,KABUPATEN PURWAKARTA,9099
2018-02-01,KOTA TASIKMALAYA,6493
2018-02-01,KOTA BOGOR,10
2018-02-01,KOTA CIMAHI,71
2018-02-01,KABUPATEN SUBANG,57643
2018-02-01,KABUPATEN BANDUNG,20625
2018-02-01,KABUPATEN MAJALENGKA,33994
2018-02-01,KABUPATEN KUNINGAN,20994
2018-02-01,KABUPATEN BEKASI,19755
2018-02-01,KOTA BEKASI,82
2018-02-01,KABUPATEN TASIKMALAYA,79011
2018-02-01,KABUPATEN BOGOR,25290
2018-02-01,KOTA DEPOK,103
2018-02-01,KOTA BANDUNG,627
2018-02-01,KABUPATEN INDRAMAYU,59026
2018-02-01,KABUPATEN CIANJUR,91276
2018-02-01,KABUPATEN BANDUNG BARAT,21591
2018-02-01,KOTA BANJAR,2717
2018-02-01,KABUPATEN CIAMIS,19647
2018-03-01,KOTA BEKASI,151
2018-03-01,KOTA BANJAR,9471
2018-03-01,KABUPATEN MAJALENGKA,168178
2018-03-01,KABUPATEN SUMEDANG,60229
2018-03-01,KOTA CIMAHI,117
2018-03-01,KOTA BOGOR,21
2018-03-01,KABUPATEN KUNINGAN,59293
2018-03-01,KABUPATEN BOGOR,44928
2018-03-01,KOTA DEPOK,71
2018-03-01,KABUPATEN CIREBON,78763
2018-03-01,KABUPATEN CIAMIS,78566
2018-03-01,KABUPATEN INDRAMAYU,221473
2018-03-01,KABUPATEN SUBANG,138441
2018-03-01,KOTA SUKABUMI,1745
2018-03-01,KABUPATEN CIANJUR,120075
2018-03-01,KABUPATEN BANDUNG BARAT,33266
2018-03-01,KOTA BANDUNG,542
2018-03-01,KABUPATEN BEKASI,57781
2018-03-01,KABUPATEN BANDUNG,26289
2018-03-01,KABUPATEN KARAWANG,81053
2018-03-01,KABUPATEN SUKABUMI,94558
2018-03-01,KABUPATEN PURWAKARTA,33338
2018-03-01,KOTA TASIKMALAYA,5623
2018-03-01,KABUPATEN TASIKMALAYA,45600
2018-03-01,KOTA CIREBON,126
2018-03-01,KABUPATEN PANGANDARAN,55965
2018-03-01,KABUPATEN GARUT,58121
2018-04-01,KABUPATEN SUMEDANG,40767
2018-04-01,KABUPATEN CIREBON,113219
2018-04-01,KOTA DEPOK,0
2018-04-01,KABUPATEN PANGANDARAN,8976
2018-04-01,KABUPATEN BEKASI,30253
2018-04-01,KOTA BEKASI,289
2018-04-01,KABUPATEN BANDUNG BARAT,10666
2018-04-01,KOTA BOGOR,21
2018-04-01,KOTA BANDUNG,1745
2018-04-01,KABUPATEN SUBANG,142378
2018-04-01,KABUPATEN INDRAMAYU,330083
2018-04-01,KOTA CIREBON,243
2018-04-01,KABUPATEN PURWAKARTA,24843
2018-04-01,KOTA SUKABUMI,827
2018-04-01,KABUPATEN KARAWANG,82093
2018-04-01,KABUPATEN MAJALENGKA,42130
2018-04-01,KABUPATEN CIAMIS,28560
2018-04-01,KABUPATEN CIANJUR,56371
2018-04-01,KOTA BANJAR,1320
2018-04-01,KOTA CIMAHI,0
2018-04-01,KABUPATEN BANDUNG,74341
2018-04-01,KABUPATEN KUNINGAN,39722
2018-04-01,KABUPATEN SUKABUMI,33311
